gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,3880.386523,0.165922558,0.106866934,1.55260894,0.120516589,0.360187215
TNMD,3.306891841,0.181058824,0.436730851,0.41457759,0.678451156,0.85179991
DPM1,1958.780107,-0.016296507,0.094114803,-0.173155617,0.862529109,0.94202101
SCYL3,969.3726088,0.157518153,0.082166466,1.917061317,0.055230142,0.236178209
C1orf112,589.7017084,0.01178295,0.119630277,0.098494715,0.921539468,0.969332133
FGR,922.095406,0.342896285,0.13915229,2.464179969,0.013732714,0.107918712
CFH,4753.592315,-0.184990126,0.168244431,-1.09953194,0.27153611,0.551936363
FUCA2,3861.574198,-0.178792076,0.089555894,-1.996430034,0.045887134,0.21422609
GCLC,8803.30538,-0.351507063,0.243379323,-1.444276605,0.148661184,0.401112535
NFYA,2371.890794,0.038642716,0.074930239,0.5157159,0.606052848,0.809189882
STPG1,699.1506383,0.191900413,0.097984671,1.958473815,0.050174441,0.22420164
NIPAL3,2340.88369,0.232895598,0.101092688,2.303782815,0.021234838,0.138775869
LAS1L,2255.466048,-0.07933124,0.07114493,-1.115065267,0.264822454,0.545618611
ENPP4,2056.8827,0.393290697,0.14740744,2.668051871,0.007629248,0.075179622
SEMA3F,2755.285162,0.079795421,0.158138857,0.504590856,0.613846233,0.813821435
CFTR,670.2228082,0.341739536,0.282465576,1.209844896,0.226338415,0.503526368
ANKIB1,3623.484795,-0.248461364,0.082353307,-3.017017452,0.002552751,0.039194618
CYP51A1,359.140759,-0.365415973,0.123561884,-2.957351903,0.003102938,0.044286059
KRIT1,1641.980774,-0.074271083,0.068900045,-1.077954052,0.281054262,0.562108523
RAD52,380.7493708,-0.202743271,0.101602713,-1.995451347,0.045993675,0.214434232
MYH16,45.29816552,-1.57332784,0.225843453,-6.966453184,3.25E-12,9.88E-09
BAD,2040.451075,-0.04023314,0.093416532,-0.430685431,0.666697114,0.845187333
LAP3,6059.532994,0.045197391,0.092895727,0.486538967,0.626585084,0.820747715
CD99,10250.5851,-0.24201542,0.109706375,-2.206028762,0.027381986,0.158253303
HS3ST1,1274.549867,-0.08559665,0.203363208,-0.420905291,0.673824241,0.849308497
AOC1,1581.803026,-0.344259654,0.343191721,-1.00311177,0.315806936,0.595319817
WNT16,34.29659171,-1.155018475,0.277400949,-4.163714935,3.13E-05,0.002213622
HECW1,120.2849447,-0.148941735,0.183796073,-0.810364075,0.417730959,0.680243969
MAD1L1,1586.92065,-0.226320162,0.091474634,-2.474130272,0.013356099,0.106428675
LASP1,16410.38683,-0.150033869,0.096643853,-1.552440889,0.120556766,0.360189257
SNX11,1708.200845,-0.032742108,0.083596794,-0.391667024,0.695304258,0.858462891
TMEM176A,3857.617178,0.403346318,0.18784801,2.147195057,0.031777756,0.1735408
M6PR,4979.985168,-0.206232241,0.093710142,-2.200746213,0.027753995,0.159493659
KLHL13,570.191403,0.518474561,0.29646301,1.748867629,0.080313903,0.290199207
CYP26B1,259.2730256,-0.0451273,0.184248903,-0.244925743,0.806513929,0.917225344
ICA1,1938.215495,0.05837026,0.160057546,0.364682963,0.715348077,0.870908352
DBNDD1,1486.142185,-0.118393106,0.145429773,-0.814091254,0.415592676,0.678011281
ALS2,1395.296458,-0.075010907,0.066388325,-1.129880998,0.258526372,0.539101523
CASP10,1648.507634,-0.045319958,0.121415475,-0.373263442,0.708952383,0.867319476
CFLAR,7064.833104,-0.05243264,0.095025598,-0.551773848,0.581103307,0.795088464
TFPI,9152.761406,0.270754787,0.226252744,1.196691726,0.231426733,0.509281066
NDUFAF7,661.7747628,0.055508133,0.07312499,0.759085683,0.447801303,0.70595469
